MW,CLogP,HBD,TPSA,RotBonds,SMILES
197.277,0.519,1,35.580,1,CN1CCN(C(=O)C2CCCN2)CC1
245.249,2.572,1,38.330,3,COc1cccc(C(=O)Nc2ccccc2F)c1
247.293,-0.587,2,75.430,2,NC(=O)C1CCN(C(=O)Nc2ccccc2)CC1
199.293,1.675,0,26.790,1,CC(C)N1CCN(C(=O)N(C)C)CC1
233.306,1.991,1,38.330,4,Cc1ccc(CC(=O)NC[C@@H]2CCCO2)cc1
201.220,-0.876,2,75.630,3,CC(=O)NC(C(=O)O)C1CCOCC1
226.274,2.639,2,41.130,3,CC(=O)Nc1ccc(Nc2ccccc2)cc1
200.278,-1.570,1,41.570,4,COCCNC1CCN(C(C)=O)CC1
203.234,0.866,1,60.160,2,Cc1cc(F)ccc1CS(N)(=O)=O
235.282,0.655,0,55.320,4,CCOC(=O)C1CCN(c2cnccn2)CC1
179.216,1.479,1,30.490,2,CNCC1COc2ccccc2O1
174.199,1.330,0,32.670,1,CC1=NN(c2ccccc2)C(=O)C1
175.187,0.525,1,60.910,1,Cn1nc(C(N)=O)c2ccccc21
192.301,2.513,1,15.270,4,CC(C)NCc1ccc(N(C)C)cc1
199.248,2.772,1,35.250,3,Nc1cccc(OCc2ccccc2)c1
193.246,-0.201,1,49.250,2,OCC1CCN(c2ncccn2)CC1
168.193,0.754,1,55.130,2,Cc1cc(C(=O)NC(C)C)on1
247.677,3.308,0,39.190,4,O=C(OCc1ccc(Cl)cc1)c1cccnc1
192.218,-1.807,1,70.710,2,Cc1nn(C)c(C)c1NC(=O)CC#N
227.691,0.929,0,38.130,1,Cn1ncc(Cl)c1C(=O)N1CCCCC1
246.262,2.229,1,64.360,4,Cc1ccc(OCC(=O)Nc2cc(C)on2)cc1
210.276,-0.258,1,68.180,3,CN(C)Cc1nc(C2(N)CCCC2)no1.Cl.Cl
221.279,1.014,1,46.920,3,Cn1nccc1C(=O)NCc1cccs1
189.207,1.193,1,60.160,1,Cc1cc(F)cc(S(N)(=O)=O)c1
139.155,1.455,1,47.040,2,CNc1nccc(OC)n1
227.691,1.162,0,38.250,3,CN(CC1CCOC1)c1ncncc1Cl
207.204,1.240,0,39.940,3,COc1ccc(Cn2ccnn2)cc1F
219.240,0.404,2,67.010,4,COCC(=O)NCc1nc2ccccc2[nH]1
214.242,1.356,2,81.420,4,CCOC(=O)Nc1sccc1C(N)=O
223.270,1.681,1,37.810,3,Cc1ncc(CNc2cncc(F)c2)s1
213.343,3.663,1,37.810,4,CC(C)c1nnc(NCC(C)(C)C)s1
151.163,0.724,2,49.330,1,CC(=O)Nc1ccccc1O
171.237,2.037,0,29.540,4,CCOC(=O)CN1CCCCC1
247.677,2.898,2,49.330,2,O=C(Nc1ccc(O)cc1)c1ccc(Cl)cc1
139.155,0.311,2,57.780,1,CC(=O)Nc1cc(C)n[nH]1
246.259,2.732,0,52.600,4,CCCc1cc(=O)oc2cc(OC(C)=O)ccc12
237.646,1.006,1,72.700,2,Cn1nnc(NC(=O)c2ccc(Cl)cc2)n1
238.306,1.622,0,61.170,3,Cc1ccc(S(=O)(=O)N(C)CCC#N)cc1
235.297,2.864,1,29.100,3,O=C(Cc1ccc(F)cc1)NC1CCCCC1
204.268,0.865,1,41.990,3,Cc1ccc(CNC(=O)C2CCC2)cn1
248.304,1.739,1,67.770,4,CCCc1nnc(NC(=O)c2ccccn2)s1
196.203,-0.107,1,64.350,2,O=C(O)c1ccnn1C1CCOCC1
210.584,2.987,1,24.920,2,CNc1ncc(C(F)(F)F)cc1Cl
180.200,1.862,1,46.530,4,CCOc1ccc(CC(=O)O)cc1
210.248,1.416,1,36.360,2,CCC1(O)CCN(c2ccc(F)cn2)C1
169.184,-0.560,1,72.700,2,CC(C)C(=O)Nc1nnn(C)n1
210.230,-0.262,1,64.360,3,Cc1cc(C(=O)NCC2CCOC2)on1
248.321,0.651,1,55.560,4,COc1cccc(CN2CCC(C(N)=O)CC2)c1
181.235,0.507,1,46.920,2,Cc1cc(C(=O)NC(C)C)n(C)n1
208.214,-0.059,2,81.420,4,COc1ccc(C(=O)NCC(N)=O)cc1
242.273,2.181,1,51.220,4,COC(=O)Nc1ccc(Cc2ccncc2)cc1
177.246,1.208,2,36.950,3,c1ccc(NCC2CCNC2)nc1
208.232,1.370,1,32.340,2,CNC1CCN(c2ccccc2F)C1=O.Cl
153.182,1.540,0,38.250,2,COc1ccnc(N(C)C)n1
239.261,2.747,0,20.310,1,O=C(c1c(F)cccc1F)N1CCCCCC1
206.241,2.679,2,62.220,3,CC(NC(=O)c1cccnc1O)C1CC1
233.306,2.853,1,38.330,4,O=C(COc1ccccc1)NC1CCCCC1
208.214,0.063,2,81.420,4,COCC(=O)Nc1ccccc1C(N)=O
211.688,2.069,1,23.470,2,O[C@@H]1CCN(Cc2ccc(Cl)cc2)C1
239.273,2.767,3,60.940,3,Oc1ccccc1CNc1nc2ccccc2[nH]1
242.273,2.200,2,64.350,4,NNC(=O)c1ccc(OCc2ccccc2)cc1
194.230,0.809,0,42.430,3,CCOc1ncccc1C(=O)N(C)C
166.220,0.610,1,52.890,2,N#CCC(=O)NC1CCCCC1
180.161,0.579,2,79.290,2,CNC(=O)c1cccc(C(=O)O)n1
231.294,2.370,1,54.880,4,O=C(NCCC1=CCCCC1)c1cnccn1
276.102,1.477,2,49.330,3,CC(O)CNC(=O)c1ccc(Br)cc1F
239.276,2.831,1,55.630,2,Cc1cccc(Nc2ncnc3c2cnn3C)c1
199.247,1.243,1,55.400,4,COC(=O)CNC(=O)C1CCCCC1
140.143,-0.333,2,70.670,2,CCNC(=O)c1c[nH]nn1
242.273,1.888,2,62.220,4,O=C(NCCc1ccc(O)cc1)c1ccccn1
191.226,0.572,0,29.540,0,CC(=O)N1CCOc2ccccc2C1
210.296,0.967,0,33.200,1,Cc1nc(C(=O)N2CCCC2)c(C)s1
215.266,2.811,1,12.030,4,Fc1ccc(CNCc2ccccc2)cc1
253.728,1.821,1,49.570,2,NCC(=O)N1CCN(c2ccc(Cl)cc2)CC1
239.334,1.422,0,37.380,2,Cc1ccc(CN2CCS(=O)(=O)CC2)cc1
166.177,1.052,1,65.210,3,CCOc1ncccc1C(N)=O
237.295,1.547,0,30.930,4,COc1ccc(CN2CCOCC2)cc1OC
207.272,0.861,1,46.920,3,Cc1c(C(=O)NCC2CCC2)cnn1C
206.244,0.717,1,72.110,3,CN(c1ccc(C(N)=O)nn1)C1CCC1
152.194,-1.736,0,44.100,0,CC(=O)N1CCC(C#N)CC1
234.316,-0.837,1,66.480,2,CC(C)NC(=O)N(C)C1CCS(=O)(=O)C1
235.713,2.472,0,30.270,2,N#CCN1CCN(c2cccc(Cl)c2)CC1
206.284,2.136,1,24.500,3,CCOc1ccccc1N1CCNCC1.Cl
233.268,2.532,0,41.610,2,N#Cc1ccc(Cn2cnc3ccccc32)cc1
225.268,-0.212,1,62.300,1,Cc1ncsc1C(=O)N1CCNC(=O)C1
233.238,2.277,1,42.240,4,O=C(NCCc1ccc(F)cc1)c1ccco1
209.245,0.433,0,47.360,2,CC1CN(C(=O)Cn2cccn2)CCO1
222.284,2.427,2,54.270,3,O=C(NCc1ccco1)NC1CCCCC1
224.279,1.021,0,48.150,3,COC(C)c1nc(-c2cnoc2C)cs1
239.312,3.312,1,23.470,2,Oc1ccccc1CN1CCc2ccccc2C1
191.205,1.633,2,40.710,3,Fc1ccccc1NCc1cc[nH]n1
218.295,3.142,1,41.990,3,O=C(CC1CCCCC1)Nc1cccnc1
210.248,1.641,1,34.150,3,Fc1cccnc1NCC1CCOCC1
234.316,-1.591,1,66.480,2,CC(=O)N1CCCC(CNS(C)(=O)=O)C1
245.249,2.777,2,49.330,2,Cc1ccc(NC(=O)c2cccc(F)c2)cc1O
270.126,1.705,1,45.230,1,CC1C(=O)NCCN1c1ncccc1Br
183.211,0.189,1,72.700,4,CCCC(=O)Nc1nnn(CC)n1
243.221,0.651,1,85.840,2,Cn1nnc(NC(=O)c2cc3ccccc3o2)n1
241.285,3.176,1,38.330,4,Cc1ccccc1OCC(=O)Nc1ccccc1
247.333,3.194,0,29.540,4,CCc1ccc(OCC(=O)N2CCCCC2)cc1
207.272,0.728,1,49.250,2,Cc1cc(N2CCCCC2)nc(CO)n1
231.251,2.266,1,56.150,3,COC(=O)Nc1cc(C)n(-c2ccccc2)n1
219.228,1.064,0,29.540,3,O=C(COC(F)F)N1CC2CCCC2C1
