regid,smiles,Pgood
S108,O=C1C=CC(=O)C(=O)C1=O,0.95
S1080,c1cnc2ccnn2c1,1.0
S1081,c1cc2[nH]ncc2nn1,0.99
S1082,c1cc2cn[nH]c2nn1,1.0
S1083,c1cn2nccc2nn1,0.99
S10836,O=C1SN=CC2=C1SC=CC2=O,0.68
S1084,c1cc2ccnn2nn1,0.94
S1085,c1nncc2[nH]ncc12,1.0
S1086,c1cc2cnncn2n1,0.99
S10861,O=C1OC(=O)C2=C(O1)C=NSC2=O,0.6
S1087,O=C1NC=Cc2[nH]ncc12,1.0
S10872,O=C1Sc2c[nH]cc2C=N1,0.92
S10875,O=C1Sc2c[nH]nc2C=N1,0.92
S10877,O=C1Sc2conc2C=N1,0.58
S1088,O=C1NC=Cc2cn[nH]c12,1.0
S1089,O=C1Nc2[nH]ncc2C=C1,0.97
S109,O=C1NC(=O)C=CO1,0.88
S1090,O=C1Nc2cn[nH]c2C=C1,0.99
S10908,O=C1NC(=O)C2=C(N1)C=NC(=O)S2,0.9
S1091,O=C1NC=Cn2nccc12,0.99
S10915,O=C1NC2=C(SC(=O)N=C2)C(=O)S1,0.9
S10917,O=C1SC2=C(NC(=O)C(=O)S2)C=N1,0.63
S10918,O=C1SC2=C(SC(=O)C(=O)N2)C=N1,0.58
S1092,O=C1NC=Cc2ccnn12,0.99
S10923,O=C1Sc2nccnc2C=N1,0.86
S1093,O=C1Nn2nccc2C=C1,0.86
S1094,O=C1Nc2ccnn2C=C1,0.99
S1095,O=C1NC=C2C=NNC2=C1,0.96
S1096,O=C1NC=C2NN=CC2=C1,0.96
S1097,O=C1OC=Cc2[nH]ncc12,0.97
S10976,O=C1NC(=O)C2=C(S1)SC(=O)N=C2,0.63
S10977,O=C1NC(=O)C2=C(S1)C=NC(=O)S2,0.6
S1098,O=C1OC=Cc2cn[nH]c12,0.97
S10989,O=C1OC(=O)C2=C(S1)SC(=O)N=C2,0.72
S1099,O=C1Oc2[nH]ncc2C=C1,0.87
S10996,O=C1Nc2c[nH]cc2N=C1,0.94
S10997,O=C1C=NC=C2C=CON12,0.92
S10999,O=C1Nc2cocc2N=C1,0.95
S11,c1cn[nH]n1,0.98
S110,O=C1NC(=O)C=CS1,0.92
S1100,O=C1Oc2cn[nH]c2C=C1,0.87
S11000,O=C1C=NC=C2C=CSN12,0.52
S11001,O=C1C=NC=C2SC=CN12,0.95
S11002,O=C1Nc2cscc2N=C1,0.98
S11005,O=C1Nc2n[nH]cc2N=C1,0.95
S11006,O=C1Nc2c[nH]nc2N=C1,0.94
S11008,O=C1C=NC=C2ON=CN12,0.71
S11009,O=C1Nc2nocc2N=C1,0.92
S1101,O=C1OC=Cn2nccc12,0.92
S11010,O=C1Nc2conc2N=C1,0.92
S11012,O=C1C=NC=C2SN=CN12,0.93
S11013,O=C1Nc2nscc2N=C1,0.93
S11014,O=C1Nc2csnc2N=C1,0.92
S11016,O=C1C=NC=C2NC=NN12,0.94
S11018,O=C1C=NC=C2OC=NN12,0.9
S1102,O=C1OC=Cc2ccnn12,0.82
S11020,O=C1C=NC=C2SC=NN12,0.93
S11022,O=C1C=NC=C2NN=NN12,0.92
S11023,O=C1Nc2n[nH]nc2N=C1,0.81
