system,lig,RMSDi,RMSDf,idx
CDK2,CS18,51.88426,6.04341,5
CDK2,CS19,39.20774,5.51229,6
CDK2,CS20,52.54937,3.66333,7
CDK2,CS241,9.43909,0.06740,8
CDK2,CS242,16.97749,0.03047,9
CDK2,CS245,8.53487,0.03495,10
CDK2,CS246,46.30233,0.07589,11
CDK2,CS248,21.83363,0.06848,12
CDK2,CS260,19.39364,6.50988,13
CDK2,CS261,51.52277,0.06694,14
CDK2,CS262,9.11424,0.08545,15
CDK2,CS1,7.74656,0.15894,0
CDK2,CS3,33.22337,0.05970,1
CDK2,CS4,44.13695,0.07772,2
CDK2,CS9,20.05756,0.09518,3
CDK2,CS11,45.38319,0.04940,4
